"Step","30-flat - loss_prd","30-flat - loss_prd__MIN","30-flat - loss_prd__MAX","20-flat - loss_prd","20-flat - loss_prd__MIN","20-flat - loss_prd__MAX","linear-increase - loss_prd","linear-increase - loss_prd__MIN","linear-increase - loss_prd__MAX","linear-decrease - loss_prd","linear-decrease - loss_prd__MIN","linear-decrease - loss_prd__MAX"
"20","0.18882253612818212","0.18882253612818212","0.18882253612818212","0.1898320351844611","0.1898320351844611","0.1898320351844611","0.19476298577976875","0.19476298577976875","0.19476298577976875","0.1886813666248509","0.1886813666248509","0.1886813666248509"
"21","0.19207479106831074","0.19207479106831074","0.19207479106831074","0.1932295018693304","0.1932295018693304","0.1932295018693304","0.1988807127604844","0.1988807127604844","0.1988807127604844","0.1918797187702659","0.1918797187702659","0.1918797187702659"
"22","0.18803775644370618","0.18803775644370618","0.18803775644370618","0.18907045735799857","0.18907045735799857","0.18907045735799857","0.19281691634416126","0.19281691634416126","0.19281691634416126","0.18637009036890764","0.18637009036890764","0.18637009036890764"
"23","0.18677652413274326","0.18677652413274326","0.18677652413274326","0.1877595526052511","0.1877595526052511","0.1877595526052511","0.19290649139301014","0.19290649139301014","0.19290649139301014","0.1863749841619141","0.1863749841619141","0.1863749841619141"
"24","0.1819230721115298","0.1819230721115298","0.1819230721115298","0.18330343777903904","0.18330343777903904","0.18330343777903904","0.18848953523765538","0.18848953523765538","0.18848953523765538","0.18156742308793575","0.18156742308793575","0.18156742308793575"
"25","0.18082193630527107","0.18082193630527107","0.18082193630527107","0.18309554314731358","0.18309554314731358","0.18309554314731358","0.18564783363915865","0.18564783363915865","0.18564783363915865","0.18093915793596846","0.18093915793596846","0.18093915793596846"
"26","0.17735260654283502","0.17735260654283502","0.17735260654283502","0.178950177189958","0.178950177189958","0.178950177189958","0.18166641975497072","0.18166641975497072","0.18166641975497072","0.17725984695303532","0.17725984695303532","0.17725984695303532"
"27","0.17585869836834267","0.17585869836834267","0.17585869836834267","0.17742422731728327","0.17742422731728327","0.17742422731728327","0.1824092461958613","0.1824092461958613","0.1824092461958613","0.17657692025749738","0.17657692025749738","0.17657692025749738"
"28","0.1757244339632226","0.1757244339632226","0.1757244339632226","0.17790930373238698","0.17790930373238698","0.17790930373238698","0.18015271798878169","0.18015271798878169","0.18015271798878169","0.17605537103368182","0.17605537103368182","0.17605537103368182"
"29","0.1727728913399526","0.1727728913399526","0.1727728913399526","0.17386087624299276","0.17386087624299276","0.17386087624299276","0.1769184611737728","0.1769184611737728","0.1769184611737728","0.17294545340572148","0.17294545340572148","0.17294545340572148"
