"Step","cosine_increase - loss_prd","cosine_increase - loss_prd__MIN","cosine_increase - loss_prd__MAX","60%_flat - loss_prd","60%_flat - loss_prd__MIN","60%_flat - loss_prd__MAX","cosine_decrease - loss_prd","cosine_decrease - loss_prd__MIN","cosine_decrease - loss_prd__MAX"
"0","0.28265322895906225","0.28265322895906225","0.28265322895906225","0.28036682116121636","0.28036682116121636","0.28036682116121636","0.2806358771080755","0.2806358771080755","0.2806358771080755"
"1","0.2769865498057687","0.2769865498057687","0.2769865498057687","0.27747087517725505","0.27747087517725505","0.27747087517725505","0.2775490702453143","0.2775490702453143","0.2775490702453143"
"2","0.27177532484492484","0.27177532484492484","0.27177532484492484","0.26765223792652765","0.26765223792652765","0.26765223792652765","0.26786795849959877","0.26786795849959877","0.26786795849959877"
"3","0.2749809950018325","0.2749809950018325","0.2749809950018325","0.26314299311680894","0.26314299311680894","0.26314299311680894","0.26318465956707593","0.26318465956707593","0.26318465956707593"
"4","0.27873600295233836","0.27873600295233836","0.27873600295233836","0.2595084077014","0.2595084077014","0.2595084077014","0.26026545756444214","0.26026545756444214","0.26026545756444214"
"5","0.2697977470308713","0.2697977470308713","0.2697977470308713","0.2531275967133892","0.2531275967133892","0.2531275967133892","0.25334970940668283","0.25334970940668283","0.25334970940668283"
"6","0.27124056559299276","0.27124056559299276","0.27124056559299276","0.2506152019502098","0.2506152019502098","0.2506152019502098","0.25245051246396727","0.25245051246396727","0.25245051246396727"
"7","0.26092259991244077","0.26092259991244077","0.26092259991244077","0.251927458112558","0.251927458112558","0.251927458112558","0.25338948434826847","0.25338948434826847","0.25338948434826847"
"8","0.24523400476912863","0.24523400476912863","0.24523400476912863","0.23877274549703828","0.23877274549703828","0.23877274549703828","0.24030010062531235","0.24030010062531235","0.24030010062531235"
"9","0.2412738173918421","0.2412738173918421","0.2412738173918421","0.24863358375372072","0.24863358375372072","0.24863358375372072","0.2489191231158864","0.2489191231158864","0.2489191231158864"
"10","0.24295108314744385","0.24295108314744385","0.24295108314744385","0.2433240461885451","0.2433240461885451","0.2433240461885451","0.2457397942818522","0.2457397942818522","0.2457397942818522"
"11","0.24255985685998632","0.24255985685998632","0.24255985685998632","0.22935582806632554","0.22935582806632554","0.22935582806632554","0.22981485754319755","0.22981485754319755","0.22981485754319755"
"12","0.24427002242511353","0.24427002242511353","0.24427002242511353","0.22279217991581077","0.22279217991581077","0.22279217991581077","0.2223869208651856","0.2223869208651856","0.2223869208651856"
"13","0.23192517844723262","0.23192517844723262","0.23192517844723262","0.2288792853255384","0.2288792853255384","0.2288792853255384","0.22917401502580986","0.22917401502580986","0.22917401502580986"
"14","0.23134999552406668","0.23134999552406668","0.23134999552406668","0.23718359103300454","0.23718359103300454","0.23718359103300454","0.23743529430028362","0.23743529430028362","0.23743529430028362"
"15","0.22497747756993103","0.22497747756993103","0.22497747756993103","0.22869643481087712","0.22869643481087712","0.22869643481087712","0.2282507166710233","0.2282507166710233","0.2282507166710233"
"16","0.23572617814473953","0.23572617814473953","0.23572617814473953","0.2142253690457904","0.2142253690457904","0.2142253690457904","0.21445400538381706","0.21445400538381706","0.21445400538381706"
"17","0.23348494109197307","0.23348494109197307","0.23348494109197307","0.22139444428134414","0.22139444428134414","0.22139444428134414","0.22174876411994845","0.22174876411994845","0.22174876411994845"
"18","0.22510276061887047","0.22510276061887047","0.22510276061887047","0.2222600140249333","0.2222600140249333","0.2222600140249333","0.22389968655755976","0.22389968655755976","0.22389968655755976"
"19","0.2246908568601121","0.2246908568601121","0.2246908568601121","0.21143348260280193","0.21143348260280193","0.21143348260280193","0.21250472049456076","0.21250472049456076","0.21250472049456076"
"20","0.2310585354125172","0.2310585354125172","0.2310585354125172","0.21323581753386117","0.21323581753386117","0.21323581753386117","0.2133774345939102","0.2133774345939102","0.2133774345939102"
"21","0.20782832028546966","0.20782832028546966","0.20782832028546966","0.21588692840568524","0.21588692840568524","0.21588692840568524","0.21828899669534563","0.21828899669534563","0.21828899669534563"
"22","0.21373792887075388","0.21373792887075388","0.21373792887075388","0.19932257302984477","0.19932257302984477","0.19932257302984477","0.20107517129008712","0.20107517129008712","0.20107517129008712"
"23","0.21659472848865857","0.21659472848865857","0.21659472848865857","0.207316853276711","0.207316853276711","0.207316853276711","0.20907439357619242","0.20907439357619242","0.20907439357619242"
"24","0.2069407986457815","0.2069407986457815","0.2069407986457815","0.2097073614230339","0.2097073614230339","0.2097073614230339","0.21234662624722495","0.21234662624722495","0.21234662624722495"
"25","0.21034520683129493","0.21034520683129493","0.21034520683129493","0.19955824787930115","0.19955824787930115","0.19955824787930115","0.2033128184943811","0.2033128184943811","0.2033128184943811"
"26","0.20198162733859895","0.20198162733859895","0.20198162733859895","0.19053769161986595","0.19053769161986595","0.19053769161986595","0.19413908514677455","0.19413908514677455","0.19413908514677455"
"27","0.20793958605274576","0.20793958605274576","0.20793958605274576","0.19686447091631054","0.19686447091631054","0.19686447091631054","0.1998354280271481","0.1998354280271481","0.1998354280271481"
"28","0.20755414237169056","0.20755414237169056","0.20755414237169056","0.20097438288684016","0.20097438288684016","0.20097438288684016","0.20312611372951517","0.20312611372951517","0.20312611372951517"
"29","0.2152066142271611","0.2152066142271611","0.2152066142271611","0.19829942298816242","0.19829942298816242","0.19829942298816242","0.20096071963150478","0.20096071963150478","0.20096071963150478"
