"Step","frosty-surf-6 - loss_prd","frosty-surf-6 - loss_prd__MIN","frosty-surf-6 - loss_prd__MAX","35-flat - loss_prd","35-flat - loss_prd__MIN","35-flat - loss_prd__MAX"
"0","0.28265241095938415","0.28265241095938415","0.28265241095938415","0.2811208815235673","0.2811208815235673","0.2811208815235673"
"1","0.269026602152735","0.269026602152735","0.269026602152735","0.2744226668257522","0.2744226668257522","0.2744226668257522"
"2","0.2794439217736873","0.2794439217736873","0.2794439217736873","0.2724801732604001","0.2724801732604001","0.2724801732604001"
"3","0.2621490298272715","0.2621490298272715","0.2621490298272715","0.26181528678178106","0.26181528678178106","0.26181528678178106"
"4","0.24864587311469416","0.24864587311469416","0.24864587311469416","0.25198262991412107","0.25198262991412107","0.25198262991412107"
"5","0.25125255518884376","0.25125255518884376","0.25125255518884376","0.24866487627194925","0.24866487627194925","0.24866487627194925"
"6","0.25123845073501117","0.25123845073501117","0.25123845073501117","0.2409850771659772","0.2409850771659772","0.2409850771659772"
"7","0.24981543665239944","0.24981543665239944","0.24981543665239944","0.24730792632753043","0.24730792632753043","0.24730792632753043"
"8","0.2435120987165577","0.2435120987165577","0.2435120987165577","0.24996627690554915","0.24996627690554915","0.24996627690554915"
"9","0.2449926210439387","0.2449926210439387","0.2449926210439387","0.2285134172322982","0.2285134172322982","0.2285134172322982"
"10","0.24298390390650007","0.24298390390650007","0.24298390390650007","0.21960932955160054","0.21960932955160054","0.21960932955160054"
"11","0.23574106784836027","0.23574106784836027","0.23574106784836027","0.23395948244244544","0.23395948244244544","0.23395948244244544"
"12","0.2313465100414482","0.2313465100414482","0.2313465100414482","0.2338852950528207","0.2338852950528207","0.2338852950528207"
"13","0.22748137336181662","0.22748137336181662","0.22748137336181662","0.22469529750550749","0.22469529750550749","0.22469529750550749"
"14","0.22202614580018035","0.22202614580018035","0.22202614580018035","0.22805692744263598","0.22805692744263598","0.22805692744263598"
"15","0.22529653535857228","0.22529653535857228","0.22529653535857228","0.22052949353099893","0.22052949353099893","0.22052949353099893"
"16","0.20741950911789678","0.20741950911789678","0.20741950911789678","0.22588529618712896","0.22588529618712896","0.22588529618712896"
"17","0.2075790716903924","0.2075790716903924","0.2075790716903924","0.2134937650989741","0.2134937650989741","0.2134937650989741"
"18","0.21448955674947218","0.21448955674947218","0.21448955674947218","0.2075632413749704","0.2075632413749704","0.2075632413749704"
"19","0.2141579160722726","0.2141579160722726","0.2141579160722726","0.21365342385185357","0.21365342385185357","0.21365342385185357"
"20","0.20971191203477615","0.20971191203477615","0.20971191203477615","0.21189955850522824","0.21189955850522824","0.21189955850522824"
"21","0.20983683459019956","0.20983683459019956","0.20983683459019956","0.20961771107044155","0.20961771107044155","0.20961771107044155"
"22","0.20838573214576672","0.20838573214576672","0.20838573214576672","0.21149879010067185","0.21149879010067185","0.21149879010067185"
"23","0.2135711504708094","0.2135711504708094","0.2135711504708094","0.20716382066171815","0.20716382066171815","0.20716382066171815"
"24","0.19912670827506265","0.19912670827506265","0.19912670827506265","0.19990943572377318","0.19990943572377318","0.19990943572377318"
"25","0.2072373887253854","0.2072373887253854","0.2072373887253854","0.19871660600281285","0.19871660600281285","0.19871660600281285"
"26","0.20660130592518067","0.20660130592518067","0.20660130592518067","0.19671563882707754","0.19671563882707754","0.19671563882707754"
"27","0.20391746521536402","0.20391746521536402","0.20391746521536402","0.21084532128177755","0.21084532128177755","0.21084532128177755"
"28","0.19372343953755747","0.19372343953755747","0.19372343953755747","0.2048395346274301","0.2048395346274301","0.2048395346274301"
"29","0.197763919290013","0.197763919290013","0.197763919290013","0.1871014754465632","0.1871014754465632","0.1871014754465632"
