"Step","cosine_increase - loss_mlm","cosine_increase - loss_mlm__MIN","cosine_increase - loss_mlm__MAX","60%_flat - loss_mlm","60%_flat - loss_mlm__MIN","60%_flat - loss_mlm__MAX","cosine_decrease - loss_mlm","cosine_decrease - loss_mlm__MIN","cosine_decrease - loss_mlm__MAX"
"0","NaN","","","1.857279171580438","1.857279171580438","1.857279171580438","1.2984210244568763","1.2984210244568763","1.2984210244568763"
"1","NaN","","","1.423846086139395","1.423846086139395","1.423846086139395","0.9086439136377314","0.9086439136377314","0.9086439136377314"
"2","NaN","","","1.348660710204781","1.348660710204781","1.348660710204781","0.8454935658565228","0.8454935658565228","0.8454935658565228"
"3","0.507658523196442","0.507658523196442","0.507658523196442","1.2835968639296218","1.2835968639296218","1.2835968639296218","0.796152952064217","0.796152952064217","0.796152952064217"
"4","0.5056572163105224","0.5056572163105224","0.5056572163105224","1.2535082722447581","1.2535082722447581","1.2535082722447581","0.7547157589785695","0.7547157589785695","0.7547157589785695"
"5","0.49579894155229765","0.49579894155229765","0.49579894155229765","1.2280112636731115","1.2280112636731115","1.2280112636731115","0.7239184688524966","0.7239184688524966","0.7239184688524966"
"6","0.48575715150978555","0.48575715150978555","0.48575715150978555","1.1918671034865362","1.1918671034865362","1.1918671034865362","0.6871613795609818","0.6871613795609818","0.6871613795609818"
"7","0.48751787305462846","0.48751787305462846","0.48751787305462846","1.1748271000071215","1.1748271000071215","1.1748271000071215","0.6734572911009892","0.6734572911009892","0.6734572911009892"
"8","0.4671688119903258","0.4671688119903258","0.4671688119903258","1.1545680086773833","1.1545680086773833","1.1545680086773833","0.6293270803501516","0.6293270803501516","0.6293270803501516"
"9","0.47665813065135054","0.47665813065135054","0.47665813065135054","1.151706218992585","1.151706218992585","1.151706218992585","0.6213596849472935","0.6213596849472935","0.6213596849472935"
"10","0.48835914188575635","0.48835914188575635","0.48835914188575635","1.1281992436684285","1.1281992436684285","1.1281992436684285","0.5981833443028547","0.5981833443028547","0.5981833443028547"
"11","0.4976862902067098","0.4976862902067098","0.4976862902067098","1.120524706299772","1.120524706299772","1.120524706299772","0.5727555196036724","0.5727555196036724","0.5727555196036724"
"12","0.5122958794492217","0.5122958794492217","0.5122958794492217","1.1206039205313","1.1206039205313","1.1206039205313","0.5455058175059119","0.5455058175059119","0.5455058175059119"
"13","0.5183646647347071","0.5183646647347071","0.5183646647347071","1.1079957762739503","1.1079957762739503","1.1079957762739503","0.5228495957652045","0.5228495957652045","0.5228495957652045"
"14","0.5211205316914452","0.5211205316914452","0.5211205316914452","1.0898509834640215","1.0898509834640215","1.0898509834640215","0.49670743908122916","0.49670743908122916","0.49670743908122916"
"15","0.5358206807611188","0.5358206807611188","0.5358206807611188","1.0911205849287027","1.0911205849287027","1.0911205849287027","0.4967940432987126","0.4967940432987126","0.4967940432987126"
"16","0.5592356089327617","0.5592356089327617","0.5592356089327617","1.0781123974752045","1.0781123974752045","1.0781123974752045","0.4629118355654632","0.4629118355654632","0.4629118355654632"
"17","0.5676171612015841","0.5676171612015841","0.5676171612015841","1.076174571546902","1.076174571546902","1.076174571546902","0.44612025452472637","0.44612025452472637","0.44612025452472637"
"18","0.571901711964935","0.571901711964935","0.571901711964935","1.078794569220876","1.078794569220876","1.078794569220876","0.4262015402726701","0.4262015402726701","0.4262015402726701"
"19","0.5815645352705784","0.5815645352705784","0.5815645352705784","1.0619921324452448","1.0619921324452448","1.0619921324452448","0.4191661928390992","0.4191661928390992","0.4191661928390992"
"20","0.5960308566843111","0.5960308566843111","0.5960308566843111","1.065396349727766","1.065396349727766","1.065396349727766","0.41085035797690744","0.41085035797690744","0.41085035797690744"
"21","0.6212181181807971","0.6212181181807971","0.6212181181807971","1.038945799362755","1.038945799362755","1.038945799362755","0.3778479932919401","0.3778479932919401","0.3778479932919401"
"22","0.632588364823987","0.632588364823987","0.632588364823987","1.0553393044081203","1.0553393044081203","1.0553393044081203","0.3737069559640935","0.3737069559640935","0.3737069559640935"
"23","0.6362431360342522","0.6362431360342522","0.6362431360342522","1.0493632158326394","1.0493632158326394","1.0493632158326394","0.35826437428747254","0.35826437428747254","0.35826437428747254"
"24","0.6527879779554587","0.6527879779554587","0.6527879779554587","1.0537494859676317","1.0537494859676317","1.0537494859676317","0.35222313219610973","0.35222313219610973","0.35222313219610973"
"25","0.6656501423247492","0.6656501423247492","0.6656501423247492","1.0416766333416156","1.0416766333416156","1.0416766333416156","0.33176610244327104","0.33176610244327104","0.33176610244327104"
"26","0.6686987311911065","0.6686987311911065","0.6686987311911065","1.0499376592494094","1.0499376592494094","1.0499376592494094","0.33899601665298795","0.33899601665298795","0.33899601665298795"
"27","0.6825019463231063","0.6825019463231063","0.6825019463231063","1.0501906690865175","1.0501906690865175","1.0501906690865175","0.3280275409025346","0.3280275409025346","0.3280275409025346"
"28","0.678215644818401","0.678215644818401","0.678215644818401","1.0469072567638253","1.0469072567638253","1.0469072567638253","0.31428759538873663","0.31428759538873663","0.31428759538873663"
"29","0.6720646692851702","0.6720646692851702","0.6720646692851702","1.0422247087696028","1.0422247087696028","1.0422247087696028","NaN","",""
