"Step","grateful-sunset-24 - loss_mlm","grateful-sunset-24 - loss_mlm__MIN","grateful-sunset-24 - loss_mlm__MAX","efficient-music-23 - loss_mlm","efficient-music-23 - loss_mlm__MIN","efficient-music-23 - loss_mlm__MAX"
"0","1.1552787037751147","1.1552787037751147","1.1552787037751147","1.0169296741599345","1.0169296741599345","1.0169296741599345"
"1","0.844219275290957","0.844219275290957","0.844219275290957","0.7165564341285756","0.7165564341285756","0.7165564341285756"
"2","0.7874434170718412","0.7874434170718412","0.7874434170718412","0.6667967033693354","0.6667967033693354","0.6667967033693354"
"3","0.7578862465349318","0.7578862465349318","0.7578862465349318","0.6402850944520408","0.6402850944520408","0.6402850944520408"
"4","0.7343924126609136","0.7343924126609136","0.7343924126609136","0.6189894609608269","0.6189894609608269","0.6189894609608269"
"5","0.7153261066165589","0.7153261066165589","0.7153261066165589","0.6022588882140303","0.6022588882140303","0.6022588882140303"
"6","0.6931675123633774","0.6931675123633774","0.6931675123633774","0.5830738903229473","0.5830738903229473","0.5830738903229473"
"7","0.6789872470560647","0.6789872470560647","0.6789872470560647","0.5706690474719036","0.5706690474719036","0.5706690474719036"
"8","0.6627511302649065","0.6627511302649065","0.6627511302649065","0.556397407789153","0.556397407789153","0.556397407789153"
"9","0.6540615924669586","0.6540615924669586","0.6540615924669586","0.5472642136467549","0.5472642136467549","0.5472642136467549"
"10","0.6462354603984202","0.6462354603984202","0.6462354603984202","0.5391701190213438","0.5391701190213438","0.5391701190213438"
"11","0.6367547431008052","0.6367547431008052","0.6367547431008052","0.5304939535794823","0.5304939535794823","0.5304939535794823"
"12","0.6279917784547078","0.6279917784547078","0.6279917784547078","0.5227933008280646","0.5227933008280646","0.5227933008280646"
"13","0.617450547514071","0.617450547514071","0.617450547514071","0.515064294130065","0.515064294130065","0.515064294130065"
"14","0.6109308194369077","0.6109308194369077","0.6109308194369077","0.5099173142880429","0.5099173142880429","0.5099173142880429"
"15","0.6006622044241611","0.6006622044241611","0.6006622044241611","0.49946971710287885","0.49946971710287885","0.49946971710287885"
"16","0.5920144990541553","0.5920144990541553","0.5920144990541553","0.4943096714222249","0.4943096714222249","0.4943096714222249"
"17","0.5870935620782712","0.5870935620782712","0.5870935620782712","0.4882857686861326","0.4882857686861326","0.4882857686861326"
"18","0.5864735296550598","0.5864735296550598","0.5864735296550598","0.48544780325912334","0.48544780325912334","0.48544780325912334"
"19","0.5832014666002898","0.5832014666002898","0.5832014666002898","0.479871748020972","0.479871748020972","0.479871748020972"
"20","0.574849315769686","0.574849315769686","0.574849315769686","0.4751229421498666","0.4751229421498666","0.4751229421498666"
"21","0.5725002877527976","0.5725002877527976","0.5725002877527976","0.469977540744625","0.469977540744625","0.469977540744625"
"22","0.5667369416424336","0.5667369416424336","0.5667369416424336","0.46872191755883114","0.46872191755883114","0.46872191755883114"
"23","0.5645965914803607","0.5645965914803607","0.5645965914803607","0.46626247597559717","0.46626247597559717","0.46626247597559717"
"24","0.5598704647670948","0.5598704647670948","0.5598704647670948","0.4627831523327996","0.4627831523327996","0.4627831523327996"
"25","0.5572404275129315","0.5572404275129315","0.5572404275129315","0.4619929184667937","0.4619929184667937","0.4619929184667937"
"26","0.5580409894718696","0.5580409894718696","0.5580409894718696","0.45914783018235944","0.45914783018235944","0.45914783018235944"
"27","0.5556080319954239","0.5556080319954239","0.5556080319954239","0.4579999693363677","0.4579999693363677","0.4579999693363677"
"28","0.5507482273688981","0.5507482273688981","0.5507482273688981","0.4529415406770151","0.4529415406770151","0.4529415406770151"
"29","0.550931053267408","0.550931053267408","0.550931053267408","0.45326112074962327","0.45326112074962327","0.45326112074962327"
