Step,frosty-surf-6 - loss_mlm,frosty-surf-6 - loss_mlm__MIN,frosty-surf-6 - loss_mlm__MAX,35-flat - loss_mlm,35-flat - loss_mlm__MIN,35-flat - loss_mlm__MAX
0,1.31791197411887,1.31791197411887,1.31791197411887,1.32873251994375,1.32873251994375,1.32873251994375
1,0.932818717230822,0.932818717230822,0.932818717230822,0.930134046908098,0.930134046908098,0.930134046908098
2,0.864040193610064,0.864040193610064,0.864040193610064,0.869065962760276,0.869065962760276,0.869065962760276
3,0.83164315283981,0.83164315283981,0.83164315283981,0.835429779531164,0.835429779531164,0.835429779531164
4,0.795164596659082,0.795164596659082,0.795164596659082,0.803268225877794,0.803268225877794,0.803268225877794
5,0.781805706274418,0.781805706274418,0.781805706274418,0.779718563529371,0.779718563529371,0.779718563529371
6,0.761243193090417,0.761243193090417,0.761243193090417,0.766253569881425,0.766253569881425,0.766253569881425
7,0.749970456997629,0.749970456997629,0.749970456997629,0.749540757785999,0.749540757785999,0.749540757785999
8,0.73488619568125,0.73488619568125,0.73488619568125,0.738063851158128,0.738063851158128,0.738063851158128
9,0.720145087859785,0.720145087859785,0.720145087859785,0.727525964009625,0.727525964009625,0.727525964009625
10,0.710638697109832,0.710638697109832,0.710638697109832,0.718418220072302,0.718418220072302,0.718418220072302
11,0.705447224459348,0.705447224459348,0.705447224459348,0.70546458823649,0.70546458823649,0.70546458823649
12,0.694271871350876,0.694271871350876,0.694271871350876,0.695219806985546,0.695219806985546,0.695219806985546
13,0.690356826196418,0.690356826196418,0.690356826196418,0.693738422662247,0.693738422662247,0.693738422662247
14,0.689128388970635,0.689128388970635,0.689128388970635,0.675790832299768,0.675790832299768,0.675790832299768
15,0.681808857830199,0.681808857830199,0.681808857830199,0.678944186911783,0.678944186911783,0.678944186911783
16,0.672073054319347,0.672073054319347,0.672073054319347,0.674256276851165,0.674256276851165,0.674256276851165
17,0.669778928814726,0.669778928814726,0.669778928814726,0.67248551891619,0.67248551891619,0.67248551891619
18,0.664229500128795,0.664229500128795,0.664229500128795,0.665349168987333,0.665349168987333,0.665349168987333
19,0.659513450704003,0.659513450704003,0.659513450704003,0.666997982089529,0.666997982089529,0.666997982089529
20,0.657319865836442,0.657319865836442,0.657319865836442,0.665500423010752,0.665500423010752,0.665500423010752
21,0.661945141453779,0.661945141453779,0.661945141453779,0.652110259951526,0.652110259951526,0.652110259951526
22,0.651472325429662,0.651472325429662,0.651472325429662,0.655022447687069,0.655022447687069,0.655022447687069
23,0.656806761157194,0.656806761157194,0.656806761157194,0.645481664971768,0.645481664971768,0.645481664971768
24,0.655888320124559,0.655888320124559,0.655888320124559,0.659121480493145,0.659121480493145,0.659121480493145
25,0.651474547977666,0.651474547977666,0.651474547977666,0.642266083309669,0.642266083309669,0.642266083309669
26,0.641583902775559,0.641583902775559,0.641583902775559,0.648921938456652,0.648921938456652,0.648921938456652
27,0.647802100182717,0.647802100182717,0.647802100182717,0.654093560769813,0.654093560769813,0.654093560769813
28,0.650703913866336,0.650703913866336,0.650703913866336,0.636178140251236,0.636178140251236,0.636178140251236
29,0.643678752520612,0.643678752520612,0.643678752520612,0.638415026243861,0.638415026243861,0.638415026243861
