"Step","grateful-sunset-24 - loss_prd","grateful-sunset-24 - loss_prd__MIN","grateful-sunset-24 - loss_prd__MAX","efficient-music-23 - loss_prd","efficient-music-23 - loss_prd__MIN","efficient-music-23 - loss_prd__MAX"
"0","0.27716552745621964","0.27716552745621964","0.27716552745621964","0.27735435784232754","0.27735435784232754","0.27735435784232754"
"1","0.2723026993471191","0.2723026993471191","0.2723026993471191","0.27252834613314114","0.27252834613314114","0.27252834613314114"
"2","0.2678896630616532","0.2678896630616532","0.2678896630616532","0.2685335793184074","0.2685335793184074","0.2685335793184074"
"3","0.25323835401262607","0.25323835401262607","0.25323835401262607","0.2533203437277436","0.2533203437277436","0.2533203437277436"
"4","0.2482713673754332","0.2482713673754332","0.2482713673754332","0.24857510130511212","0.24857510130511212","0.24857510130511212"
"5","0.24815630880148926","0.24815630880148926","0.24815630880148926","0.24835399218251972","0.24835399218251972","0.24835399218251972"
"6","0.24358664839564048","0.24358664839564048","0.24358664839564048","0.24388862492210936","0.24388862492210936","0.24388862492210936"
"7","0.2388493666098318","0.2388493666098318","0.2388493666098318","0.23946460422682966","0.23946460422682966","0.23946460422682966"
"8","0.23215490380152776","0.23215490380152776","0.23215490380152776","0.23257731044458807","0.23257731044458807","0.23257731044458807"
"9","0.22972951788910245","0.22972951788910245","0.22972951788910245","0.23077607515467088","0.23077607515467088","0.23077607515467088"
"10","0.22951853423706392","0.22951853423706392","0.22951853423706392","0.22987132712857414","0.22987132712857414","0.22987132712857414"
"11","0.22593643067845406","0.22593643067845406","0.22593643067845406","0.2269093851498435","0.2269093851498435","0.2269093851498435"
"12","0.21737311330218692","0.21737311330218692","0.21737311330218692","0.21812384398227544","0.21812384398227544","0.21812384398227544"
"13","0.21620716951033883","0.21620716951033883","0.21620716951033883","0.21711903591818027","0.21711903591818027","0.21711903591818027"
"14","0.2203947063599436","0.2203947063599436","0.2203947063599436","0.2207856630092444","0.2207856630092444","0.2207856630092444"
"15","0.20928269881712458","0.20928269881712458","0.20928269881712458","0.21079293330242674","0.21079293330242674","0.21079293330242674"
"16","0.20594420271555944","0.20594420271555944","0.20594420271555944","0.20731743552245713","0.20731743552245713","0.20731743552245713"
"17","0.20409204444407222","0.20409204444407222","0.20409204444407222","0.20449700424419218","0.20449700424419218","0.20449700424419218"
"18","0.20052641985710454","0.20052641985710454","0.20052641985710454","0.20270987631760196","0.20270987631760196","0.20270987631760196"
"19","0.19569323512028816","0.19569323512028816","0.19569323512028816","0.1962020281552984","0.1962020281552984","0.1962020281552984"
"20","0.18774620573185669","0.18774620573185669","0.18774620573185669","0.18966066421059366","0.18966066421059366","0.18966066421059366"
"21","0.19113823922905532","0.19113823922905532","0.19113823922905532","0.19360180692747236","0.19360180692747236","0.19360180692747236"
"22","0.1855258260263514","0.1855258260263514","0.1855258260263514","0.18680237486802098","0.18680237486802098","0.18680237486802098"
"23","0.18485671581259666","0.18485671581259666","0.18485671581259666","0.18694495199361943","0.18694495199361943","0.18694495199361943"
"24","0.17929058913959062","0.17929058913959062","0.17929058913959062","0.18287678039526098","0.18287678039526098","0.18287678039526098"
"25","0.17902078113930997","0.17902078113930997","0.17902078113930997","0.18062986993579236","0.18062986993579236","0.18062986993579236"
"26","0.17433716773787755","0.17433716773787755","0.17433716773787755","0.17688445511188727","0.17688445511188727","0.17688445511188727"
"27","0.1739396851314303","0.1739396851314303","0.1739396851314303","0.17676344790268433","0.17676344790268433","0.17676344790268433"
"28","0.1725088997562736","0.1725088997562736","0.1725088997562736","0.17378359742690133","0.17378359742690133","0.17378359742690133"
"29","0.17024852761870804","0.17024852761870804","0.17024852761870804","0.17198611457035912","0.17198611457035912","0.17198611457035912"
