"Step","decrease-fast - loss_mlm","decrease-fast - loss_mlm__MIN","decrease-fast - loss_mlm__MAX","40-flat - loss_mlm","40-flat - loss_mlm__MIN","40-flat - loss_mlm__MAX","15-flat - loss_mlm","15-flat - loss_mlm__MIN","15-flat - loss_mlm__MAX"
"0","1.2705074400619696","1.2705074400619696","1.2705074400619696","1.2361232020245254","1.2361232020245254","1.2361232020245254","0.8931008927609402","0.8931008927609402","0.8931008927609402"
"1","0.9148278406842519","0.9148278406842519","0.9148278406842519","0.9176400511148777","0.9176400511148777","0.9176400511148777","0.6064455324115644","0.6064455324115644","0.6064455324115644"
"2","0.8244446548910541","0.8244446548910541","0.8244446548910541","0.8590467978297299","0.8590467978297299","0.8590467978297299","0.562393046597033","0.562393046597033","0.562393046597033"
"3","0.7636705657623651","0.7636705657623651","0.7636705657623651","0.8254048548581946","0.8254048548581946","0.8254048548581946","0.5437184919880433","0.5437184919880433","0.5437184919880433"
"4","0.71226537455698","0.71226537455698","0.71226537455698","0.7987758659395098","0.7987758659395098","0.7987758659395098","0.5250517466169504","0.5250517466169504","0.5250517466169504"
"5","0.6702612049109836","0.6702612049109836","0.6702612049109836","0.7805260890654026","0.7805260890654026","0.7805260890654026","0.5120371936855994","0.5120371936855994","0.5120371936855994"
"6","0.622107443765147","0.622107443765147","0.622107443765147","0.7558897681136167","0.7558897681136167","0.7558897681136167","0.4919422443074579","0.4919422443074579","0.4919422443074579"
"7","0.5875022968092493","0.5875022968092493","0.5875022968092493","0.7418194288515862","0.7418194288515862","0.7418194288515862","0.481402978346548","0.481402978346548","0.481402978346548"
"8","0.5537332158535719","0.5537332158535719","0.5537332158535719","0.723277958971626","0.723277958971626","0.723277958971626","0.47017975916360855","0.47017975916360855","0.47017975916360855"
"9","0.5253654890132087","0.5253654890132087","0.5253654890132087","0.713201130181551","0.713201130181551","0.713201130181551","0.46243740014504386","0.46243740014504386","0.46243740014504386"
"10","0.49891349743227015","0.49891349743227015","0.49891349743227015","0.7058852115205226","0.7058852115205226","0.7058852115205226","0.45693900698212947","0.45693900698212947","0.45693900698212947"
"11","0.47387161180092635","0.47387161180092635","0.47387161180092635","0.6958687602051796","0.6958687602051796","0.6958687602051796","0.44683169700660325","0.44683169700660325","0.44683169700660325"
"12","0.45005556664763746","0.45005556664763746","0.45005556664763746","0.6880499041006538","0.6880499041006538","0.6880499041006538","0.4389517882497597","0.4389517882497597","0.4389517882497597"
"13","0.42982469959084996","0.42982469959084996","0.42982469959084996","0.67587773041757","0.67587773041757","0.67587773041757","0.43423038258977975","0.43423038258977975","0.43423038258977975"
"14","0.41087363612134264","0.41087363612134264","0.41087363612134264","0.668499682439875","0.668499682439875","0.668499682439875","0.42799163967911297","0.42799163967911297","0.42799163967911297"
"15","0.3889268526921177","0.3889268526921177","0.3889268526921177","0.6591386343572886","0.6591386343572886","0.6591386343572886","0.4191931888247833","0.4191931888247833","0.4191931888247833"
"16","0.37332117939083515","0.37332117939083515","0.37332117939083515","0.6508803650452435","0.6508803650452435","0.6508803650452435","0.4125322415429445","0.4125322415429445","0.4125322415429445"
"17","0.35571721926800737","0.35571721926800737","0.35571721926800737","0.643372269060093","0.643372269060093","0.643372269060093","0.4074513071181096","0.4074513071181096","0.4074513071181096"
"18","0.34552603778678154","0.34552603778678154","0.34552603778678154","0.6439618701356968","0.6439618701356968","0.6439618701356968","0.40662579294862866","0.40662579294862866","0.40662579294862866"
"19","0.3312914857868361","0.3312914857868361","0.3312914857868361","0.638907033529218","0.638907033529218","0.638907033529218","0.39923521232158515","0.39923521232158515","0.39923521232158515"
"20","0.32137320006500847","0.32137320006500847","0.32137320006500847","0.6332452460213472","0.6332452460213472","0.6332452460213472","0.39520932589977525","0.39520932589977525","0.39520932589977525"
"21","0.30774645698167924","0.30774645698167924","0.30774645698167924","0.6285526476572943","0.6285526476572943","0.6285526476572943","0.3899647313390524","0.3899647313390524","0.3899647313390524"
"22","0.29874076018445833","0.29874076018445833","0.29874076018445833","0.6232758736394289","0.6232758736394289","0.6232758736394289","0.38955382963230134","0.38955382963230134","0.38955382963230134"
"23","0.2937752001439861","0.2937752001439861","0.2937752001439861","0.620041109789305","0.620041109789305","0.620041109789305","0.3869518316130488","0.3869518316130488","0.3869518316130488"
"24","0.27860802010764574","0.27860802010764574","0.27860802010764574","0.6169922756215999","0.6169922756215999","0.6169922756215999","0.38170363934255624","0.38170363934255624","0.38170363934255624"
"25","0.2793745082589346","0.2793745082589346","0.2793745082589346","0.6142748150149829","0.6142748150149829","0.6142748150149829","0.38272490385734964","0.38272490385734964","0.38272490385734964"
"26","NaN","","","0.612483549021355","0.612483549021355","0.612483549021355","0.3793077826101816","0.3793077826101816","0.3793077826101816"
"27","NaN","","","0.6122912210447871","0.6122912210447871","0.6122912210447871","0.38023555805579623","0.38023555805579623","0.38023555805579623"
"28","NaN","","","0.6063694058426918","0.6063694058426918","0.6063694058426918","0.3742459659706375","0.3742459659706375","0.3742459659706375"
"29","NaN","","","0.6061911416872767","0.6061911416872767","0.6061911416872767","0.3746803688624774","0.3746803688624774","0.3746803688624774"
