linear-increase,cosine-increase,cosine-decrease
0.106063551351584,0.129937754154831,0.425320412224258
0.095770062610351,0.10294717566096,0.357815951734554
0.100027462940677,0.09278682510916,0.339654692441566
0.105756995955283,0.08925760885921,0.320809161816617
0.112139885521757,0.096002866075026,0.311483814061143
0.118296793876358,0.098101699395987,0.300064299923887
0.124550845001234,0.103779019377344,0.291301821920139
0.128644430680016,0.108755076325406,0.280379386135299
0.13575082582187,0.116447474149888,0.26724929570128
0.142299429652857,0.12528021846905,0.25771224368648
0.147788530377714,0.135795606790779,0.245138598193649
0.154219021465459,0.14741349106882,0.235412768728121
0.159599449150691,0.156547927542924,0.220907731706859
0.166224400513585,0.166991887852294,0.208122761529081
0.172309736207213,0.178442807107424,0.194793719748561
0.178192869528332,0.190754976230211,0.184376317574038
0.183397435761619,0.202084228716336,0.17139887505474
0.190343900511169,0.21180651041871,0.157549473624108
0.195358110873299,0.220990633556463,0.144997402716371
0.201667040171287,0.229538713667172,0.133048706407168
0.207704898641082,0.239610610302282,0.121071717792496
0.214008150062033,0.25049230437868,0.112291689599573
0.219844849335158,0.253680775638755,0.099341616555266
0.225725145237023,0.262637942503313,0.0919721657588
0.231802005191398,0.269390251259995,0.084291052522017
0.238376947389987,0.276595558430857,0.078048565621374
0.245355290052204,0.278239120907001,0.073340130857021
0.251154111996862,0.283477772169441,0.069887805311543
0.257683206963858,0.283637208053629,0.067463454289206
0.264762746285334,0.285624572694415,0.064470157670639
