"Step","linear-increase - loss_prd","linear-increase - loss_prd__MIN","linear-increase - loss_prd__MAX","cosine-increase - loss_prd","cosine-increase - loss_prd__MIN","cosine-increase - loss_prd__MAX","cosine-decrease - loss_prd","cosine-decrease - loss_prd__MIN","cosine-decrease - loss_prd__MAX","2-flat - loss_prd","2-flat - loss_prd__MIN","2-flat - loss_prd__MAX","25-flat - loss_prd","25-flat - loss_prd__MIN","25-flat - loss_prd__MAX","20-flat - loss_prd","20-flat - loss_prd__MIN","20-flat - loss_prd__MAX","40-flat - loss_prd","40-flat - loss_prd__MIN","40-flat - loss_prd__MAX","15-flat - loss_prd","15-flat - loss_prd__MIN","15-flat - loss_prd__MAX","30-flat - loss_prd","30-flat - loss_prd__MIN","30-flat - loss_prd__MAX","35-flat - loss_prd","35-flat - loss_prd__MIN","35-flat - loss_prd__MAX"
"0","0.27766883293849254","0.27766883293849254","0.27766883293849254","0.2889248248836637","0.2889248248836637","0.2889248248836637","0.2887234260818658","0.2887234260818658","0.2887234260818658","0.2889248248836637","0.2889248248836637","0.2889248248836637","0.28144786998501603","0.28144786998501603","0.28144786998501603","0.28148421795526873","0.28148421795526873","0.28148421795526873","0.28371570980218985","0.28371570980218985","0.28371570980218985","0.2851715284357032","0.2851715284357032","0.2851715284357032","0.2846575734909368","0.2846575734909368","0.2846575734909368","0.28311740973509336","0.28311740973509336","0.28311740973509336"
"1","0.27361378787540414","0.27361378787540414","0.27361378787540414","0.27832244912105547","0.27832244912105547","0.27832244912105547","0.27842553338846404","0.27842553338846404","0.27842553338846404","0.2780477037184111","0.2780477037184111","0.2780477037184111","0.27501533334392286","0.27501533334392286","0.27501533334392286","0.27524605764161425","0.27524605764161425","0.27524605764161425","0.2726071975300558","0.2726071975300558","0.2726071975300558","0.2730238392295046","0.2730238392295046","0.2730238392295046","0.27274753240057986","0.27274753240057986","0.27274753240057986","0.2689643431675286","0.2689643431675286","0.2689643431675286"
"2","0.26928893161283535","0.26928893161283535","0.26928893161283535","0.26381743616488484","0.26381743616488484","0.26381743616488484","0.26401264458283324","0.26401264458283324","0.26401264458283324","0.2638864103022195","0.2638864103022195","0.2638864103022195","0.2740246560993313","0.2740246560993313","0.2740246560993313","0.27392037815009135","0.27392037815009135","0.27392037815009135","0.26604874533394934","0.26604874533394934","0.26604874533394934","0.27127801606303636","0.27127801606303636","0.27127801606303636","0.27081845047393144","0.27081845047393144","0.27081845047393144","0.2801500019183709","0.2801500019183709","0.2801500019183709"
"3","0.2550403581398987","0.2550403581398987","0.2550403581398987","0.26369087133229574","0.26369087133229574","0.26369087133229574","0.26352927972072065","0.26352927972072065","0.26352927972072065","0.2636178299599818","0.2636178299599818","0.2636178299599818","0.26279758917565904","0.26279758917565904","0.26279758917565904","0.2628061618719904","0.2628061618719904","0.2628061618719904","0.27148348419351204","0.27148348419351204","0.27148348419351204","0.2694889416470271","0.2694889416470271","0.2694889416470271","0.2694688031577882","0.2694688031577882","0.2694688031577882","0.2632761662470475","0.2632761662470475","0.2632761662470475"
"4","0.24972985096218933","0.24972985096218933","0.24972985096218933","0.25811722709349433","0.25811722709349433","0.25811722709349433","0.25770976774053267","0.25770976774053267","0.25770976774053267","0.2582379682096191","0.2582379682096191","0.2582379682096191","0.2529979345161212","0.2529979345161212","0.2529979345161212","0.253418666399475","0.253418666399475","0.253418666399475","0.2607380218860757","0.2607380218860757","0.2607380218860757","0.2622538465288475","0.2622538465288475","0.2622538465288475","0.26228297370635256","0.26228297370635256","0.26228297370635256","0.25076581629789396","0.25076581629789396","0.25076581629789396"
"5","0.2494828124950064","0.2494828124950064","0.2494828124950064","0.25351965765802914","0.25351965765802914","0.25351965765802914","0.2535735844307444","0.2535735844307444","0.2535735844307444","0.25384885963152043","0.25384885963152043","0.25384885963152043","0.25015463376282676","0.25015463376282676","0.25015463376282676","0.24999368159839783","0.24999368159839783","0.24999368159839783","0.2543481820021251","0.2543481820021251","0.2543481820021251","0.2562955950479244","0.2562955950479244","0.2562955950479244","0.2560613274304125","0.2560613274304125","0.2560613274304125","0.2529394557336985","0.2529394557336985","0.2529394557336985"
"6","0.2451050688889418","0.2451050688889418","0.2451050688889418","0.2456472989505882","0.2456472989505882","0.2456472989505882","0.2453490052734793","0.2453490052734793","0.2453490052734793","0.24523446540070967","0.24523446540070967","0.24523446540070967","0.24311301688386397","0.24311301688386397","0.24311301688386397","0.243350290871076","0.243350290871076","0.243350290871076","0.26433788630258265","0.26433788630258265","0.26433788630258265","0.2587923433681424","0.2587923433681424","0.2587923433681424","0.258410053036197","0.258410053036197","0.258410053036197","0.2527705465962414","0.2527705465962414","0.2527705465962414"
"7","0.2413848566403257","0.2413848566403257","0.2413848566403257","0.24731531016926728","0.24731531016926728","0.24731531016926728","0.24768769105484012","0.24768769105484012","0.24768769105484012","0.24755306601993568","0.24755306601993568","0.24755306601993568","0.24795877876983002","0.24795877876983002","0.24795877876983002","0.24835486013001498","0.24835486013001498","0.24835486013001498","0.2532009046937104","0.2532009046937104","0.2532009046937104","0.2480116141320185","0.2480116141320185","0.2480116141320185","0.24797458820869678","0.24797458820869678","0.24797458820869678","0.2525911109223393","0.2525911109223393","0.2525911109223393"
"8","0.23520521057968719","0.23520521057968719","0.23520521057968719","0.24030583265827585","0.24030583265827585","0.24030583265827585","0.24035147447423397","0.24035147447423397","0.24035147447423397","0.24017439682733352","0.24017439682733352","0.24017439682733352","0.2512831727810602","0.2512831727810602","0.2512831727810602","0.25229188188455487","0.25229188188455487","0.25229188188455487","0.24867268747344384","0.24867268747344384","0.24867268747344384","0.2395756993663163","0.2395756993663163","0.2395756993663163","0.23995008586927224","0.23995008586927224","0.23995008586927224","0.2471448299794934","0.2471448299794934","0.2471448299794934"
"9","0.23250273870417976","0.23250273870417976","0.23250273870417976","0.24669060761549774","0.24669060761549774","0.24669060761549774","0.2457962968095227","0.2457962968095227","0.2457962968095227","0.2462331351916526","0.2462331351916526","0.2462331351916526","0.2305593779310584","0.2305593779310584","0.2305593779310584","0.231515598223893","0.231515598223893","0.231515598223893","0.23175007189474717","0.23175007189474717","0.23175007189474717","0.24452413285136906","0.24452413285136906","0.24452413285136906","0.2440345862681288","0.2440345862681288","0.2440345862681288","0.24694032263622143","0.24694032263622143","0.24694032263622143"
